N,name,price,url,pages,size1,size2,size3,weight,cover,year,description,page_price,disc_short
215,Касты. Истоки неравенства в XXI веке,439.0,https://www.chitai-gorod.ru/product/kasty-istoki-neravenstva-v-xxi-veke-2906282,512.0,2.9,13.5,20.6,474,Твёрдый переплёт,2022.0,"Лауреат Пулитцеровской премии Изабель Уилкерсон исследует истоки кастового общества в современном мире и доказывает: в XXI веке людей продолжают делить на касты высших и низших.  • Книгу рекомендуют ОПРА УИНФРИ и БАРАК ОБАМА • ГЛАВНЫЙ НОН-ФИКШН 2020 ГОДА по версии TIME, People, The Washington Post и Publishers Weekly • Победитель премий PEN, Los Angeles Times Book Prize и National Book Critics Circle Award • Будущий хит NETFLIX   Америка, Индия и Третий Рейх — что общего между этими странами? В каждой из них зародилась своя уникальная кастовая система, разделившая людей на низшие и высшие сорта, и подготовившая почву для современных шовинистических движений по всему миру. В своей книге лауреат Пулитцеровской премии, журналистка Изабель Уилкерсон рассматривает способы угнетения и ограничения людей в правах на основании их национальности, цвета кожи или места рождения, а также показывает, какой ущерб это наносит и их качеству жизни, и экономике в целом. Ее книга доказывает: даже несмотря на прогресс, кастовая система все еще существует, лишая людей равных прав и возможностей, убивая заложенный в них человеческий потенциал.  Сплетенная из множества человеческих историй, пронизанных несправедливостью, гневом и болью, книга «Касты» наглядно показывает несостоятельность искусственных правил и предрассудков, которые привели к холокосту, протестам Ганди и законам Джима Кроу — а в XXI веке к масштабным расовым протестам в Америке. Это также противоядие от идей шовинизма и ксенофобии, которые до сих пор овладевают умами людей по всему миру.  Подробное исследование расизма, неравенства и несправедливости. Это болезненно резонансная книга, и она вышла в нужное время. The Guardian  Книга Уилкерсон — мощный и поучительный отчет о том, как иерархия воспроизводит саму себя, а также призыв к нелегкой работе по ее устранению. The Washington Post  Потрясающе смело как на уровне идеи, так и в подаче… Экстраполяция идей Уилкерсон на современную Америку наводит на тревожные мысли о том, как глубоко кастовая система укоренилась в современном обществе. San Francisco Chronicle  Сила этой книги — в человеческих историях, связанных между собой, словно жемчуг. «Касты» — это запоминающееся чтение, несущее огонь праведного гнева в острой, как алмаз, прозе, которую станут изучать будущие поколения журналистов. Minneapolis Star Tribune",0.857421875,Журналистка Изабель Уилкерсон рассматривает истоки кастового общества в современном мире.
224,Столкновение,159.0,https://www.chitai-gorod.ru/product/stolknovenie-2870810,272.0,1.5,14.5,21.7,379,Твёрдый переплёт,2021.0,"«Столкновение» Петра Павленского представляет собой подлинную историю его всемирно известных акций «Угроза» — поджог двери ФСБ России, 2015; и «Освещение» — поджог окон Банка Франции, 2017; рассказанную без единого авторского слова.  Фрагменты официальных документов — полицейских протоколов, психиатрических экспертиз, постановлений судов, правозащитных комитетов, дисциплинарных комиссий и пр. собраны художником в захватывающее повествование, которое становится ответом на вопрос — есть ли разница между судебно-исполнительной властью России и Франции? И если есть, то в чем она?",0.5845588235294118,"История поджога двери ФСБ России, 2015; «Освещение» — поджог окон Банка Франции."
225,Избранные речи,317.0,https://www.chitai-gorod.ru/product/izbrannye-rechi-2851722,640.0,2.6,11.5,18.0,319,Мягкий переплёт,2021.0,"Основу этого сборника составляют политические речи Демосфена, в частности направленные против Филиппа Македонского. Среди них, в свою очередь, своеобразным эталоном энергичного и экспрессивного демосфеновского стиля является цикл из трех классических «Олинфских речей», произнесенных по случаю похода македонской армии на греческий полис Олинф. Также в сборник вошли и другие речи Демосфена, посвященные не только внешней, но и внутренней политике Афин, социальным и этическим вопросам.",0.4953125,"Сборник политических речей Демосфена, посвященных Филиппу Македонскому."
227,"Доктор, который одурачил весь мир: наука, обман и война с вакцинами",217.0,https://www.chitai-gorod.ru/product/doktor-kotoryy-odurachil-ves-mir-nauka-obman-i-voyna-s-vakcinami-2881170,480.0,3.0,13.0,20.5,449,Твёрдый переплёт,2021.0,"В книге сенсационное разоблачение журналиста Sunday Times Брайна Дира бывшего британского врача Эндрю Джереми Уэйкфилда, получившего известность после сфальсифицированного исследования 1998 года, в котором ложно утверждалось о связи между вакциной против кори, эпидемического паротита и краснухи (MMR) и аутизмом, а также за его последующую антивакцинаторскую активность. Публичная шумиха вокруг исследования привела к резкому снижению уровня вакцинации, что привело к ряду вспышек кори во всем мире. Уэйкфилд опубликовал свою статью о новой форме энтероколита, связанной с аутизмом, в престижном медицинском журнале The Lancet. Другие исследователи не смогли воспроизвести выводы Уэйкфилда, а расследование, проведенное в 2004 году Брайаном Диром, выявило нераскрытый финансовый конфликт интересов со стороны Уэйкфилда. Большинство из соавторов впоследствии отказались от интерпретации результатов исследования, опубликованных в статье. Британский Генеральный медицинский совет (GMC) провел расследование по обвинениям в мошенничестве Уэйкфилда и двух его бывших коллег, сосредоточив внимание на выводах Брайана Дира. В 2010 году GMC обнаружил, что Уэйкфилд фальсифицировал свои исследования, действовал против интересов своих пациентов и плохо обращался с детьми с задержкой развития[7] и «не справился со своими обязанностями в качестве ответственного консультанта». The Lancet отозвал публикацию Уэйкфилда 1998 года на основе результатов GMC, отметив, что элементы статьи были сфальсифицированы и что журнал был обманут Уэйкфилдом. Три месяца спустя Уэйкфилд был исключен из медицинского реестра Великобритании, отчасти из-за его преднамеренной фальсификации исследований, опубликованных в The Lancet, и ему было запрещено заниматься медицинской практикой в Великобритании. Британский суд постановил, что «в настоящее время нет авторитетного мнения, поддерживающего гипотезу [доктора Уэйкфилда], что вакцина MMR и аутизм/энтероколит причинно связаны». Об авторе Автор книги Брайан Дир популярный журналист репортер-расследователь, наиболее известный своими расследованиями в области фармацевтической промышленности, медицины и социальных проблем для лондонской газеты Sunday Times. Дира он был трижды номинирован на премию British Press Awards, премию Рaramount prize для газетных журналистов, дважды выиграл звание специалиста-репортера года и вошел в шорт-лист на звание репортера года. Судьи сказали о его первой премии за исследования, опубликованные в журнале Sunday Times, что он, вероятно, ""единственный журналист в Британии, который следит за фармацевтическими компаниями. Что касается его сенсационных исследований, включенные в книгу ""Доктор, который одурачил весь мир"", они сказали, что его репортаж был ""огромным исправлением ошибки."" Он активно работает в прессе и на телевидении.",0.45208333333333334,"Журналист Sunday Times Брайан Дир, известный своими расследованиями в области фармацевтической промышленности, медицины и социальных проблем, был обвинен в мошенничестве врача Эндрю Джереми Уэйкфилда."
228,Невесты Джихада. Почему европейские девушки решают уехать в Исламское государство.,194.0,https://www.chitai-gorod.ru/product/nevesty-dzhihada-pochemu-evropeyskie-devushki-reshayut-uehat-v-islamskoe-gosudarstvo-2698379,416.0,1.2,11.5,18.0,239,Мягкий переплёт,2018.0,"Чтобы понять, почему молодые юноши и девушки вербуются в Исламское государство, не нужно ехать на Ближний восток. Достаточно отправиться в Лондон или Париж.  Молодые европейские девушки и юноши нового поколения верят в истории про борьбу за правду и попадают в ловушку, из которой нет выхода. Эти искатели приключений, в основном из неблагополучных социальных слоёв, переходят на сторону насилия. Их находят в мечетях или через социальные сети, промывают мозг и отправляют сражаться в священной войне. Так они ищут смысл жизни. Но никогда его не находят. “Невесты джихада” - это сборник историй реальный людей, которые знают об ИГИЛе не понаслышке. Это современные сказки тысячи и одной ночи, но сказки с печальным концом.  Об авторе Ангела Родисио, журналист и писатель, затрагивает тему Ближнего Востока с 1988 года. Специальный посланник ТВЕ после падения Берлинской стены и вторжения в Кувейт Саддама Хусейна в августе 1990 года. С тех пор она начала следить за горячими темами международной политики, такими как войны в Ираке, Боснии. Получила главные награды в Испании и за рубежом. Международная премия Maria Grazia Cutuli в Corriere della Sera в 2011 году, а также - UNCA, Ассоциация корреспондентов ООН, в 2015 году.",0.46634615384615385,Не нужно ехать на Ближний восток. Достаточно отправиться в Лондон или Париж.
229,"Разум убийцы. Как работает мозг тех, кто совершает преступления",317.0,https://www.chitai-gorod.ru/product/razum-ubiycy-kak-rabotaet-mozg-teh-kto-sovershaet-prestupleniya-3057170,576.0,2.1,11.5,18.0,10,Мягкий переплёт,2024.0,"Судебные психиатры — это немногочисленная группа врачей, главная задача которых выяснить мотивы человека, находящегося под стражей, и установить, почему было совершено преступление. Для работы в этой сфере нужны крепкие нервы, хороший желудок, понимание юридического и психиатрического языка, а еще умение заглянуть в бездну и при этом не отшатнуться, увидев на самой ее глубине настоящее чудовище.  Чтобы понять, какой человек сидит перед ним, судебный психиатр обычно задает ему разные вопросы: о семье, о работе или о новых интересах.  - Зачем люди убивают? - Куда следует определить человека, находящегося под стражей: в психиатрическую больницу или в тюрьму? - Он сумасшедший или виновный? - Каким он был до совершения преступления? - Если он болен, есть ли шансы на выздоровление?  Ричард Тейлор рассказывает, как проводится судебно-психиатрическая экспертиза и оценка людей, совершивших тяжкое преступление и готовящихся к выходу на свободу. Его книга — это сборник случаев из его практики, среди которых есть нашумевшие дела, и размышление о природе человеческой психики.  «Автор очень подробно рассказывает, почему люди убивают своих любимых или почему террористы совершают свои страшные преступления. Особенно интересно было узнать, как устроена психиатрическая помощь в Великобритании и ее судебная система. Истории преступлений, личная драма автора и его путешествие на Восток делают книгу похожей на детективно-приключенческий роман». — АЛЕНА ЛЕНКОВСКАЯ, уголовный юрист, юридический психолог, автор блога @alenushka.len",0.5503472222222222,"Судебный психиатр Ричард Тейлор рассказывает, почему люди убивают своих любимых и готовящихся к выходу на свободу"
230,Одноэтажная Америка,374.0,https://www.chitai-gorod.ru/product/odnoetazhnaya-amerika-3057160,480.0,2.1,12.5,20.0,10,Твёрдый переплёт,2024.0,"Путевые очерки «Одноэтажная Америка» — последнее произведение Ильи Ильфа и Евгения Петрова, написанное ими в 1936 году. Писатели, проехав страну от Атлантики до Тихого океана и обратно, создали наполненный блестящим юмором образ Америки и американцев. Очерки были переведены на многие языки мира, но в Советской России опубликованы только через двадцать лет после их написания.",0.7791666666666667,«Одноэтажная Америка» — последнее произведение Ильи Ильфа и Евгения Петрова.
232,Былое и думы. Эмиграция,308.0,https://www.chitai-gorod.ru/product/byloe-i-dumy-emigraciya-2921209,736.0,3.0,11.7,18.2,360,Мягкий переплёт,2022.0,"""Былое и думы"" — автобиографическая хроника, признанная литературоведами и историками отечественной прозы главным произведением автора и одним из ключевых литературных произведений XIX столетия в мемуарном жанре. В эту книгу вошли пятая и шестая части ""Былого и дум"", посвященных жизни Герцена после отъезда из России — сначала во Франции, потом в Италии, вновь во Франции и, наконец, в Англии, которой надолго предстояло стать для автора новой родиной. Англии, в чьей столице пылали политические страсти, ведь в ней вынужденно обосновались политэмигранты буквально всех мыслимых степеней радикальности и всех возможных учений и систем из множества европейских стран...Мемуарная составляющая перемежается яркими картинами политической жизни Западной Европы бурной середины XIX столетия, философскими интермедиями, очерками и статьями.",0.41847826086956524,"Книга ""Былое и думы"" — автобиографическая хроника, посвященная жизни Герцена после отъезда из России."
270,О духе законов,344.0,https://www.chitai-gorod.ru/product/o-duhe-zakonov-2986935,832.0,3.5,11.5,18.0,408,Мягкий переплёт,2023.0,"Шарль Луи Монтескье — прославленный философ и энциклопедист эпохи Просвещения, предвестник Французской революции и один из зачинателей доктрины либерализма. Его центральное произведение «О духе законов», над которым Монтескье работал на протяжении нескольких десятков лет, сразу же после публикации было включено Римской церковью в список запрещенных книг. Несмотря на этот запрет, трактат моментально обрел широкую известность и был переведен на все европейские языки. Написанная в увлекательной, доходчивой манере (Монтескье был блестящим писателем, чей слог, среди прочих, высоко оценивал А. С. Пушкин), книга отстаивает фундаментальные принципы политической свободы и равноправия всех людей.",0.41346153846153844,"Книга Шарль Луи Монтескье «О духе законов», написанная в увлекательной, доходчивой манере."
274,Научиться любить Россию. С предисловием Путина В.В.,189.0,https://www.chitai-gorod.ru/product/nauchitsya-lyubit-rossiyu-s-predisloviem-putina-v-v-2852119,304.0,2.4,14.5,22.0,569,Твёрдый переплёт,2021.0,"Книга для всех, кто хочет окунуться в Россию 21 века. Судьбоносная встреча с Владимиром Путиным в 2009 году открыла новые горизонты для международного культурного менеджера и оперного режиссера Ханса-Иоахима Фрея. Бывший оперный директор Оперы Земпера, генеральный директор в Бремене и директор Брукнерхауса в Линце стал не только главным инсайдером в часто демонизируемой, самой большой стране на земле, но и постигшим русскую душу. Его пристальный взгляд простирается далеко за пределы мегаполисов, таких как Москва и Санкт-Петербург, на богатый ландшафт оперных театров, оркестров и музыкальных школ, которым мир обязан стольким светилам с глобальной харизмой. Он сообщает о встречах с интересными личностями, делится традициями, ценностями и эмоциями.",0.6217105263157895,Встреча с Владимиром Путиным в 2009 году открыла новые горизонты для международного культурного менеджера Ханса-Иоахима Фрея.
295,Вена (мMinima) Рот,249.0,https://www.chitai-gorod.ru/product/vena-mminima-rot-2614954,346.0,0.7,11.0,15.0,70,,2016.0,"""Мне кажется, я догадываюсь, что хотят сказать нам этим разнобоем старинные куранты, наша добрая старая тетушка. Будучи венским символом, они чувствуют внутреннюю необходимость стать венским симптомом. И показывают нам не время наступившего часа, а время вообще, время как таковое. И показывают нам не время наступившего часа, а время вообще, время как таковое. Они являют собой воплощение разлада...""",0.7196531791907514,"В венском символе показывают нам не время наступившего часа, а время вообще, время как таковое. Они являют собой воплощение разлада."
311,КГБ играет рок. Макаревич против Цоя,1428.0,https://www.chitai-gorod.ru/product/kgb-igraet-rok-makarevich-protiv-coya-2979968,2023.0,2.4,17.2,24.2,766,Твёрдый переплёт,2023.0,"Почему в рок-движении советского времени было так много детей-мажоров? По чьему указанию умелые кукловоды «дергали за ниточки» своих слушателей? И под каким политическим соусом подавалось «рагу из синей птицы» – «протестное» творчество группы «Машина времени»? Судьбы двух известных музыкантов, Андрея Макаревича и Виктора Цоя, разворачиваются перед читателем параллельно. «Внесистемщики», когда-то открыто выступавшие против власти, стали конъюнктурщиками, выполнявшими политический заказ и транслировавшими заданную идеологию. Масштабный обман публики, искренне верившей своим кумирам, длился много лет и был на руку обеим сторонам. Эта совершенно новая на российском рынке книга – настоящий документальный детектив с неожиданными поворотами и сенсационными подробностями тайной жизни людей, которых знает вся страна. Автор подробно и всесторонне анализирует массив публикаций, выдержек из интервью, воспоминаний очевидцев, историческую хронику и тексты песен, чтобы прийти к выводу: развал СССР был полностью управляемым процессом, и рок-музыканты стали соучастниками этого преступления.",0.7058823529411765,По чьему указанию умелые кукловоды «дергали за ниточки» своих слушателей
405,Киселёв vs Zlobin. Битва за глубоко личное,87.0,https://www.chitai-gorod.ru/product/kiselev-vs-zlobin-bitva-za-gluboko-lichnoe-2699148,448.0,2.6,13.5,20.6,439,Твёрдый переплёт,2018.0,"?Очень яркие представители двух диаметрально противоположных политических позиций: российский журналист, автор и ведущий самой рейтинговой и влиятельной в России информационно-аналитической программы ""Вести недели"" на телеканале ""Россия-1"" (премия ТЭФИ за 2015 и 2017 гг.), гендиректор МИА ""Россия сегодня"" Дмитрий Киселёв и американский и российский политолог, публицист, автор множества аналитических бестселлеров и учебников, изданных в десятках стран мира, президент Центра глобальных интересов (Вашингтон, США) Николай Злобин схлестнулись на страницах этой книги в жёстком споре по самым актуальным проблемам современного миропорядка. Их спор отражает нынешнее острейшее противостояние России и США. За кем правда? За кем будущее? За кем, Россией или США, пойдёт мир? Сможем ли мы избежать глобальной катастрофы, новой мировой войны? Иными словами, кто именно предлагает сегодня новую эффективную модель будущего для планеты? Возможна ли она вообще? Яростный спор Киселёва и Злобина не оставит никого равнодушными. Читателю придётся думать, выбирать, критически оценивать аргументы сторон. То есть, быть в эпицентре острейших дискуссий, которые идут сегодня в политической элите мира. Кто выиграл в этом споре двух влиятельных политических интеллектуалов? Ответ каждый прочитавший эту книгу определит для себя сам.",0.19419642857142858,"За кем правда? За кем будущее? Сможем ли мы избежать глобальной катастрофы, новой мировой войны?"
515,МакМафия. Серьезно организованная преступность,352.0,https://www.chitai-gorod.ru/product/makmafiya-serezno-organizovannaya-prestupnost-2697788,512.0,2.7,13.0,20.7,400,Твёрдый переплёт,2018.0,"""Эта книга легла в основу суперпопулярного сериала МакМафия. Для его экранизации BBC пригласила лучшего британского постановщика хоррора и ведущих российских актеров: Алексея Серебрякова, Данилу Козловского, Марию Шукшину. Подноготная миллиардных состояний, сколоченных криминальным интернационалом после распада Советского блока: рэкет, заказные убийства, объятия президентов и мафиози. Кто правит теперь миром? Вы убедитесь, что Великая Криминальная Революция конца прошлого века затронула не только Россию: она достойна именоваться Всемирной. Миша Гленни, корреспондент BBC в России и Восточной Европе, в деталях описал невиданный передел собственности на постсоветском пространстве, на Балканах, на Ближнем Востоке, в Америке и Африке. Рискуя жизнью, он расследовал борьбу преступных группировок и формирование мафиозных кланов – от содержания борделей до вхождения в мировую элиту. Бонус для нашего читателя – групповой портрет российской олигархии на фоне международного криминального бомонда.""",0.6875,"Книга ""МакМафия"" впервые вышла на экранизацию фильма МакМафия."
589,Русские евреи в Америке,249.0,https://www.chitai-gorod.ru/product/russkie-evrei-v-amerike-2586118,346.0,1.3,13.5,21.0,310,,2005.0,"Настоящий сборник является продолжением серии книг, изданных в Израиле М.А.Пархомовским и посвященных вкладу русских евреев в культуру Зарубежья. И хотя в нескольких книгах этой серии есть статьи, посвященные русским евреям в Америке, мы считали, что такой необъятной теме должен быть посвящен, по меньшей мере, отдельный сборник или, что еще лучше, серия сборников. . .Настоящее издание составлено по тому же принципу, что и все предшествующие. Это - собрание статей, эссе и документов. . .В предлагаемой книге господствует личностный, а не историко-социальный подход, то есть почти все статьи и публикации посвящены отдельным лицам. В таком подходе кроются свои недостатки и достоинства. К числу последних относятся разнообразие привлеченных материалов и представительный характер сборника, в котором принимают участие авторы из Израиля, России, США и Канады. К числу недостатков тома относится некоторая его мозаичность, отсутствие ""большой картины"". С другой стороны, из характеров героев, особенностей их поведения в определенных обстоятельствах, истории их достижений и неудач складывается своя ""большая картина"", возможно, не всеобъемлющая, но, как нам кажется, достаточно эмоциональная и убедительная.",0.7196531791907514,Настоящий сборник посвящен вкладу русских евреев в культуру Зарубежья.
652,Борьба за Красный Петроград,399.0,https://www.chitai-gorod.ru/product/borba-za-krasnyy-petrograd-2629502,576.0,3.2,13.2,20.7,479,Твёрдый переплёт,2018.0,"Книга известного историка Н.А. Корнатовского ""Борьба за Красный Петроград"" увидела свет в 1929 году. А потом ушла ""в тень"", потому что не вписалась в новые мифы, сложенные о Гражданской войне. .Ответ на вопрос ""почему белые не взяли Петроград"" отнюдь не так прост. Был героизм, было самопожертвование. Но были и массовое дезертирство, и целые полки у белых, сформированные из пленных красноармейцев. .Петроградский Совет выпустил в октябре 1919 года воззвание, начинавшееся словами ""Опомнитесь! Перед кем вы отступаете?"". .А еще было постоянно и методичное предательство ""союзников"" по Антанте, желавших похоронить Белое движение. .Борьба за Красный Петроград - это не только казаки Краснова (коих было всего 8 сотен!), это не только ""кронштадтский лед"". Это и концлагеря в Эстонии, где массово умирали русские люди. Это английский флот, ""исчезнувший"" в самый ответственный момент наступления Северо-Западной армии. .Хотите понять русскую революцию - читайте очевидцев событий. .",0.6927083333333334,"Книга известного историка Н.А Корнатовского ""Борьба за Красный Петроград"" увидела свет в 1929 году."
669,Напрямую,259.0,https://www.chitai-gorod.ru/product/napryamuyu-2165266,400.0,1.7,11.0,18.0,270,Мягкий переплёт,2008.0,"Одни знают Вячеслава Рыбакова как прекрасного фантаста, одного из авторов проекта ""Хольм Ван Зайчик"", другие - как ведущего российского китаеведа. Данная книга - сборник статей и историософских размышлений автора, охватывающих все области его многогранной деятельности. Здесь Рыбаков предстает перед нами как самобытный философ, размышляющий о прошлом и будущем нашей страны. Читатель серьезный и вдумчивый непременно найдет в лице автора интересного и много знающего собеседника.",0.6475,Вячеслав Рыбаков - самый известный писатель России.
722,"Дискуссии. Фантазии на тему прошлого, настоящего и будущего нашей планеты",433.0,https://www.chitai-gorod.ru/product/diskussii-fantazii-na-temu-proshlogo-nastoyashchego-i-budushchego-nashey-planety-2905640,498.0,3.0,15.3,21.7,720,Твёрдый переплёт,2021.0,"Учитывая давно назревшую, с каждым годом все усугубляющуюся и, в конечном счете, способную привести к общемировой катастрофе проблему не простых взаимоотношений .между Человеком и Природой, автор в данном произведении постарался показать названную ситуацию в достаточно тревожном ракурсе с тем, чтобы изложенные в нем мысли явились для читателя не только интересной, но и, в плане размышления, о будущем земной цивилизации, полезной информацией. А это, в свою очередь, могло бы подвигнуть его на личное участие в принятии соответствующих мер (если это еще возможно) по предотвращению глобальной катастрофы и, соответственно, по спасению разумной жизни на планете Земля. Содержание книги, особенно ее вторая часть, излагается в форме близкой к фантастике, но это не фэнтези типа произведений сказочников-фантазёров о сверх естественных богочеловеках-богатырях, или о волшебных подземных троллях и эльфах. Нет, здесь ведется разговор о сложившейся сегодня в мире конкретной, достаточно приближенной к",0.8694779116465864,Книга «Фэнтези» посвящена проблеме не простых взаимоотношений между Человеком и Природой.
784,"Новые Скифы: Статьи, эссе.",389.0,https://www.chitai-gorod.ru/product/novye-skify-stati-esse-2397651,512.0,2.2,11.5,18.5,419,Твёрдый переплёт,2014.0,"Книга Павла Зарифуллина - это пророчество о скором возвращении Золотых Скифов и Солнечных Русских. . .Скифское движение поэтов и революционеров возникло в молниеносном 1917 году. «Скифство» стало вершиной русского Народничества и предтечей Евразийства. «Скифами» называли себя лучшие писатели, музыканты и художники Серебряного века. . .В центре мечты поэтов и народников - на кума-чёвом от степных маков кургане стояли кочевники-скифы. Пращуры смотрели на нас из исторической бездны. Вольные и непобедимые, наполненные светом и силой, подарившие всем народам России культуру и генофонд, они представляли собой настоящий Русский Рай - живое и историческое Царство Правды на нашей земле. . .Звёзды над головами вновь выстраиваются особым образом. Петроград. 7 ноября. Двенадцать. Новые Скифы.",0.759765625,Книга Павла Зарифуллина: «Скифство» - это пророчество о скором возвращении Золотых Скифов и Солнечных Русских.
790,"Кошмарные сны чайника, или Не дай себе заглохнуть! : [роман]",156.0,https://www.chitai-gorod.ru/product/koshmarnye-sny-chaynika-ili-ne-day-sebe-zaglohnut-roman-2305205,256.0,1.4,11.5,20.5,239,Твёрдый переплёт,2012.0,"Эта книга - дневник-учебник, помогающий пережить критический период начала вождения - первый год. Не сломаться, не бросить машину, не стать хроническим чайником-недоучкой или хамом, который едет по принципу ""боитесь аварий - уступите мне дорогу!"". Мы приглашаем вас прожить вместе с автором ее ""первый год"", а затем прожить ваш первый год (даже если он не первый) устойчивого роста водительского мастерства. .",0.609375,"Книга ""Первый год"" помогает вам прожить критический период начала вождения."
955,Черный Граф. Следы и тропы (комплект из 2-х книг),917.0,https://www.chitai-gorod.ru/product/chernyy-graf-sledy-i-tropy-komplekt-iz-2-h-knig-2957392,1039.0,5.2,14.4,21.6,1224,Твёрдый переплёт,2021.0,"Комплект ""Исторический бестселлер. Вып. 1"" содержит книги: ""Черный граф. Подлинная история графа Монте-Кристо"" Том-Александр Дюма, будучи сыном чернокожей рабыни и французского аристократа, сделал головокружительную карьеру в армии, дослужившись до звания генерала. О том, как генерал Дюма лично отбил шесть знамен у численно превосходящего противника, а под Мантуей остановил целую армию, в своих письмах писал сам Наполеон. Впрочем, близкая дружба с Бонапартом сыграла с Дюма злую шутку — император не смог смириться с популярностью генерала. Алекс Дюма был заточен в крепость, откуда чудом спасся. Позже многие из приключений отца вдохновили Александра Дюма на написание «Графа Монте-Кристо». ""Следы и тропы. Путешествие по дорогам жизни"" Тропы повсюду. Тропы пронизывают мир — невидимые муравьиные тропы, пешеходные тропинки и дороги между континентами, автомагистрали, маршруты и гиперссылки в сети. Как образуются эти пути? Почему одни втаптываются и остаются, а другие — исчезают? Что заставляет нас идти по тропе или сходить с нее? Исходив и изучив тысячи вариаций различных троп, Мур обнаружил, что именно в тропах кроятся ответы на самые важные вопросы — как сформировался мир вокруг нас, как живые организмы впервые выбрались на сушу, как из хаоса возник порядок и, в конце концов, как мы выбираем нашу дорогу по жизни.",0.8825794032723773,"Книга ""Черный граф"" Том-Александр Дюма, сын чернокожей рабыни и французского аристократа."
977,Под сенью Полярной звезды,289.0,https://www.chitai-gorod.ru/product/pod-senyu-polyarnoy-zvezdy-2832366,416.0,2.5,13.7,20.3,439,Твёрдый переплёт,2020.0,В данном романе-эссе народного писателя Якутии Андрея Кривошапкина рассказывается о его жизни и депутатской деятельности в Москве в бытность народным депутатом РСФСР и членом Верховного Совета РСФСР в 1990—1993 гг. В целях достоверности автором широко использованы стенографические отчеты Первого съезда народных депутатов РСФСР. Данная книга является продолжением романа-эссе «Кочевье длиною в жизнь».,0.6947115384615384,В романе-эссе народного писателя Якутии Андрея Кривошапкина рассказывается о жизни и депутатской деятельности в Москве.
1024,Россия vs Запад. Проводы любви. Очерки,439.0,https://www.chitai-gorod.ru/product/rossiya-vs-zapad-provody-lyubvi-ocherki-2758413,528.0,2.7,14.2,20.7,560,,2019.0,"В новой книге Сергея Венедова представлены очерки с размышлениями автора об истории непростых отношений Запада и России, поводом для обострения которых стали события последних лет. Когда началось взаимное отчуждение? Где его истоки, в чём причины? Сергей Венедов тщательно анализирует проблемы, ещё 200 лет назад волновавшие западников и славянофилов и ставшие такими актуальными сегодня. Глубину и остроту этому анализу придаёт тот факт, что автор - дипломат со стажем, большую часть жизни проведший за границей, хорошо разбирается в особенностях внутренней и внешней политики Западной Европы и США и знает, о чём говорит. Книга, без сомнения, придётся по вкусу всем, для кого такое понятие, как ""патриотизм"", не является ни стыдным, ни пафосным, но естественным и дорогим сердцу.",0.8314393939393939,В новой книге Сергея Венедова представлены очерки с размышлениями автора об истории непростых отношений Запада и России.
1053,Войны распавшейся империи. От Горбачева до Путина,249.0,https://www.chitai-gorod.ru/product/voyny-raspavsheysya-imperii-ot-gorbacheva-do-putina-2990011,352.0,1.7,12.5,20.0,268,Мягкий переплёт,2018.0,"ИГОРЬ РОТАРЬ -- журналист-аналитик, репортер, колумнист. Работал в качестве военного корреспондента на всех войнах бывшего СССР: Донбасс, Приднестровский конфликт, Ингушско-Осетинский конфликт, Грузинско-Абхазский конфликт, гражданская война в Таджикистане, война в Чечне (как первая, так и вторая). А также в Афганистане (1993, 2010), Боснии и Герцеговине (1995), Руанде (1998), Косово и Албании (1999). Был лично знаком с большинством активных участников военных конфликтов. Перед вами свидетельство очевидца всех вооруженных конфликтов на территории бывшего СССР от времен Горбачева до настоящего времени. ЯРКОСТЬ впечатлений, ШИРОТА охвата -- временного и географического, ТОЧНОСТЬ характеристики и ДОСТОВЕРНОСТЬ фактов.",0.7073863636363636,В качестве военного корреспондента на всех вооруженных конфликтах бывшего СССР.
1073,"В разных жанрах. Статьи, рассказы, эссе, стихи",259.0,https://www.chitai-gorod.ru/product/v-raznyh-zhanrah-stati-rasskazy-esse-stihi-2634757,336.0,1.7,13.5,20.5,360,Твёрдый переплёт,2017.0,"Издательство «Художественная литература» представляет сборник одного из «старейшин» журналистского цеха страны: Николай Симаков более шестидесяти лет связан с газетой «Правда». Причем практически все эти годы он трудился в очень своеобразном ее подразделении — библиотеке; здесь она была одной из самых уникальных в стране. Сам страстный книгочей, Николай Дмитриевич помогал коллегам-журналистам в сверке и аргументации их материалов. Водил тесную дружбу со многими «золотыми перьями» советских времен. При этом нередко писал и печатался и сам. Он не только тонкий и наблюдательный публицист, но еще незаурядный поэт, которому есть что рассказать и сказать и о собственной жизни, и о жизни страны. В настоящей книге, которая выходит в год 85-летия автора и столетия Великой Октябрьской революции, собраны его произведения разных лет, которые могут представить интерес для современных любознательных читателей разных поколений.",0.7708333333333334,Сборник одного из «старейшин» журналистского цеха страны Николая Симакова.
